start_station_name,start_station_id,avg_lat,avg_lng,n_observations
Paulina St & Flournoy St,KA1504000104,41.87297349622101,-87.66911283756207,17873
State St & Van Buren St,TA1305000035,41.87716096855752,-87.62785665006699,17866
Sangamon St & Washington Blvd,13409,41.88312286795511,-87.65110257211781,17809
LaSalle St & Washington St,13006,41.882672149307425,-87.63253623667143,17697
Ellis Ave & 58th St,TA1309000011,41.78874321511756,-87.6013287800745,17605
Orleans St & Chestnut St (NEXT Apts),620,41.89818260278018,-87.63754071881915,17519
Dearborn St & Adams St,TA1305000005,41.87928096449441,-87.62976182935486,17496
Larrabee St & Armitage Ave,TA1309000006,41.918086811239796,-87.64375230303476,17466
Woodlawn Ave & 55th St,TA1307000164,41.79527412833128,-87.59648244246668,17460
Paulina Ave & North Ave,TA1305000037,41.90998007515046,-87.66997263000505,17434
Calumet Ave & 18th St,13102,41.85766615487197,-87.6195441045476,17366
Clark St & Bryn Mawr Ave,KA1504000151,41.98357898549957,-87.66916694983544,17362
Broadway & Argyle St,13108,41.97379653734443,-87.65969888113791,17229
Elston Ave & Cortland St,TA1305000039,41.916436340345285,-87.66674855999554,17224
Lakefront Trail & Wilson Ave,639,41.96583020486059,-87.64538112953001,17155
Clinton St & Roosevelt Rd,WL-008,41.86712156921211,-87.64107936723958,16970
MLK Jr Dr & 29th St,TA1307000139,41.84203713225951,-87.61698753295654,16946
Fort Dearborn Dr & 31st St,TA1307000048,41.83856203486883,-87.60822166257746,16638
Orleans St & Hubbard St,636,41.889995939541244,-87.6366340926445,16614
Sangamon St & Lake St,TA1306000015,41.88579335359854,-87.65104030518172,16587
Broadway & Berwyn Ave,13109,41.97834693865355,-87.65976524559711,16577
Noble St & Milwaukee Ave,13290,41.90068546987037,-87.66260191496744,16367
Ada St & Washington Blvd,13353,41.88283306421376,-87.66120395506745,16202
Jefferson St & Monroe St,WL-011,41.88033720615419,-87.64274734361219,16170
Western Ave & Leland Ave,TA1307000140,41.96640902470426,-87.68869550553795,16138
Field Museum,13029,41.86531848272125,-87.61790858038071,15993
Southport Ave & Irving Park Rd,TA1309000043,41.954166714212505,-87.66433823806746,15931
Wabash Ave & 16th St,SL-012,41.86039628140049,-87.6258274192792,15919
Cornell Ave & Hyde Park Blvd,KA1503000007,41.802421010995985,-87.58691384912844,15775
